CITY,ADDRESS OF PROJECT TO MAP,LOCATION OF PROJECT,"DESCRIPTION (sidewalk, bike lane, length, etc)",CODE FOR COLOR,YEAR COMPLETED,TOTAL COST (where available),"FUNDING SOURCES? (where available, list grant name + year(s) awarded + amount)",PROJECT AGENCY OR INVOLVED GROUPS (where available),"RELEVANT LINKS, FACT SHEETS",,,,,,,,,,,,,,,,,
Castleton,"2194 Main St, Castleton, VT 05735",VT 30 & VT 4A intersection,Pedestrian improvements,1,2021,,,,,,,,,,,,,,,,,,,,,
Rutland,"40 N Main St, Rutland, VT 05701",US 7 & US 4 intersection,"Road diet, reducing 4 lanes to 2 w/ central turn lane. Reconfiguration making more space for bike lanes. Project realized as part of repaving. Plans had been explored during previous repaving in 2014, now realized w/ local and state support",2,2024 (by end of season),,,,,,,,,,,,,,,,,,,,,
Rutland,"2 Oak St Ext, Rutland, VT 05701","East Creek Path, Giorgetti Park to Meadow Street Park","Multi-phase project adding to existing path: 1,200 feet of path Meadow Street Playground between the playground and River Street completed in 2019. Final section, inc bridge over East Creek, currently under construction",3,2019,,,City of Rutland,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=21F082,,,,,,,,,,,,,,,,,
Rutland,"160 Allen St, Rutland, VT 05701",Rutland Regional Medical Center,Flashing beacons at crosswalks ,1,,,,,,,,,,,,,,,,,,,,,,
Rutland,"1 Strongs Ave, Rutland, VT 05701",Strongs Avenue,"Improved sidewalks, installation of green belt as part of street redesign. This is one of many recent projects in Rutland City that are improving sidewalk quality and filling gaps in pedestrian network",1,2023,,,City of Rutland,,,,,,,,,,,,,,,,,,
Rutland Town,"1612 Post Rd, Rutland, VT 05701",Rutland Town School,Extend Post Rd sidewalk from elementary school to Chasanna Dr,1,2024,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Barre,"20 Gable Pl, Barre, VT 05641",,"GOPHER — Community Rides Vermont-run Uber-like service, where GMT cannot provide needed transportation. Rides are subsidized, or market rate similar to a taxi service. Paid drivers, using all electric vehicles.",4,2023,,,Community Rides VT,https://gophervt.org/,,,,,,,,,,,,,,,,,
Barre Town,"107 Mill St, East Barre, VT 05649",Jail Branch Bridge on Rt 110,"Bridge replacement w/ crosswalk, sidewalk on south side",1,2023,,,,,,,,,,,,,,,,,,,,,
East Montpelier,"2764 US-2, East Montpelier, VT 05651",Rt 14 and Rt 2 intersection,"Replacement of bridge, inc sidewalk, crosswalks, and 900 ft of sidewalk extending along Rt 2 toward village",1,2019,$11 million total project,,VTrans,https://vtrans.vermont.gov/sites/aot/files/press-releases/07.01.2019%20-%20AOT%20Announces%20Completion%20of%20VT-14%20Bridge.pdf,https://resources.vtrans.vermont.gov/FactSheet/default.aspx?pin=98b252,,,,,,,,,,,,,,,,
Montpelier,,36 College Street,E-Bike lending library ,,,,,Local Motion,https://webreserv.com/montpeliere-bikelendinglibraryvt,,,,,,,,,,,,,,,,,
Montpelier,"1 Taylor St, Montpelier","1 Taylor St, Montpelier","Transit Center, hub for multiple bus lines, connected with bike path and downtown infrastructure, inc. new 615' accessible sidewalk",4,2019,,,DTF 2016-17,https://express.adobe.com/page/MrXJK0TETLywR/,,,,,,,,,,,,,,,,,
Montpelier-Berlin,"39 Main St, Montpelier, VT 05602",Montpelier,MyRide by GMT: microtransit rideshare service allowing residents to schedule rides. Operated by Green Mountain Transit,4,2021,,,Green Mountain Transit,https://ridegmt.com/myride/,,,,,,,,,,,,,,,,,
Montpelier-Berlin," 800 Power Plant Rd, Montpelier, VT 05602","Winooski River, near Rt 2","200 foot bike/pedestrian bridge as part of Cross Vermont Trail, with plans to connect to U-32",3,2022,,,Cross Trail Vermont Association,https://www.crossvermont.org/index.php,,,,,,,,,,,,,,,,,
Plainfield-Marshfield,"65 Main St, Plainfield, VT 05667",John Fowler Road in Marshfield to Plainfield Park and Ride,.5 mile bike/ped trail on railbed as part of Cross Vermont Trail,3,2023,,,Cross Trail Vermont Association,https://www.crossvermont.org/about_us/gallery_newscroll.htm,,,,,,,,,,,,,,,,,
Waitsfield,,VT100 at Carrol Rd,Upgrading a signed but no marking crosswalk (installed initially for a sight-impaired individual) to a fully marked crosswalk.,,2019,,,VTrans & Mad River Valley Planning District,https://cdn.townweb.com/mrvpd.org/wp-content/uploads/2021/10/Waitsfield-Crosswalk-Sign-Pilot-Project_Final-Report.pdf,,,,,,,,,,,,,,,,,
Waitsfield,,VT100 at Old County Rd.,RRFB installed at existing crosswalk near Waitsfield Elementary School,,2025,"$10,000",Downtown Transportation Fund,VTrans & Mad River Valley Planning District,,,,,,,,,,,,,,,,,,
Waitsfield,,Entrances to Waitsfield Village and Irasville on VT100,Extended the 40/50 mph transition by Mad River Fiber Mill 0.15± miles south. Extended the 30/40 mph transition near Jamieson Insurance 0.21± miles south. Extended the 40/50 mph transition on the north side of the village 0.41± miles further north.,,2022,,,,,,,,,,,,,,,,,,,,,
Waitsfield,,4254 Main St,New mid-block crosswalk (with bumpouts) associated with the Village West Sidewalk project (755' of new sidewalk b/t Valley Players Theater & Farr Ln),,2021,,BP,VTrans & Mad River Valley Planning District,,,,,,,,,,,,,,,,,,
Waitsfield,,4391 Main St,"Village West Sidewalk Project, installed summer 2021, upgraded the Bridge Street Crosswalk with a bump out on the NE corner in front of the Joslin Memorial Library.",,2021,,BP,VTrans & Mad River Valley Planning District,,,,,,,,,,,,,,,,,,
Waitsfield,,VT100 at Irasville Common and Mad River Green,"A crosswalk was added across VT 100 between Irasville Common and Mad River Green, under the leadership of the Mad River Path, as part of a VOREC grant (located at the end of the Fiddlers Walk path segment, connecting to the larger shopping area). Includes landing area and extension of paved walkway.",,2024,,VOREC,"VTrans, VOREC, Mad River Path",,,,,,,,,,,,,,,,,,
Waitsfield,,VT100 just south of VT17 intersection,"The MRV Recreation Hub and Welcome Center, completed in 2024, routes pedestrian and bicycle traffic over VT100 via a recreation crossing and connects to the larger path segment known as Fiddlers Walk.",,2024,,VOREC,"VTrans, VOREC, Mad River Path, Mad River Riders",https://www.mrvrd.org/rec-hub,,,,,,,,,,,,,,,,,
Waitsfield,,VT100 near Warren/Waitsfield town line,"Recreation crossing over VT100, connecting path segments Yestermorrow Path and Kingbury Greenway",,2022,,,VTrans & Mad River Path,,,,,,,,,,,,,,,,,,
Waitsfield,"4144 Main St, Waitsfield, VT 05673",Main St/Rt 100,Replacement and upgrade of sidewalk from Old County Road to Bridge St,1,2021,,,,,,,,,,,,,,,,,,,,,
